codingWeek,channelId,videoId,title,publishedAt,viewCount,likeCount,dislikeCount,commentCount,duration,channelTitle,subscriberCount,country,videoURL,Language,Source Type,1st Theme,2nd Theme,Perspective,Who,Who Background,Whom,Whom Background,Verification,Verification.1,Comments,Coder,weekIndex,Comment,1st Theme String,Source Type String,Prevention String
2020-01-12-2020-01-19,UC07-dOwgza1IguKA86jqxNA,OZcRD9fV7jo,WHO: Coronavirus - questions and answers (Q&amp;A),2020-01-16T14:54:37Z,1247805,1546.0,261.0,349.0,82,World Health Organization (WHO),611000,WHO,https://www.youtube.com/watch?v=OZcRD9fV7jo,1.0,4.0,1.0,0.0,1.0,7.0,2.0,9.0,7.0,1.1,,,1.0,2,,Virus information,WHO,Not prevention
2020-01-12-2020-01-19,UC_lEiu6917IJz03TnntWUaQ,d7a7HnSzNE4,Nuevo coronavirus hallado en China se esta expandiendo,2020-01-18T04:59:44Z,750497,3707.0,236.0,835.0,76,CNN en Español,1950000,US,https://www.youtube.com/watch?v=d7a7HnSzNE4,2.0,,,,,,,,,,,,1.0,2,,Not coded,Not coded,Not coded
2020-01-12-2020-01-19,UCyoGb3SMlTlB8CLGVH4c8Rw,NXfCRrgXTz8,Cuatro nuevos casos de neumonia por coronavirus en China,2020-01-18T13:22:06Z,655375,3797.0,334.0,789.0,76,euronews (en español),883000,ES,https://www.youtube.com/watch?v=NXfCRrgXTz8,2.0,,,,,,,,,,,,1.0,2,,Not coded,Not coded,Not coded
2020-01-12-2020-01-19,UCrC8mOqJQpoB7NuIMKIS6rQ,m6KPW6fe0n8,China meN phailaa Coronavirus Know All About it Current Affairs 2020 #UPSC,2020-01-16T17:38:40Z,625846,27432.0,480.0,884.0,494,Study IQ education,8370000,IN,https://www.youtube.com/watch?v=m6KPW6fe0n8,4.0,,,,,,,,,,,,1.0,2,,Not coded,Not coded,Not coded
2020-01-12-2020-01-19,UCPgLNge0xqQHWM5B5EFH9Cg,XDVP4vbeikk,Could this coronavirus be Disease X? Everything you need to know about the mystery virus in China,2020-01-18T09:09:02Z,581763,4695.0,585.0,,140,The Telegraph,1360000,GB,https://www.youtube.com/watch?v=XDVP4vbeikk,1.0,1.0,1.0,0.0,1.0,9.0,7.0,9.0,7.0,1.1,,,1.0,2,,Virus information,Straight news,Not prevention
2020-01-12-2020-01-19,UC4SUWizzKc1tptprBkWjX2Q,Epo99jpxcQo,Wuhan outbreak: Thailand confirms first case of virus outside China,2020-01-15T07:56:14Z,362333,2352.0,108.0,899.0,110,South China Morning Post,1360000,HK,https://www.youtube.com/watch?v=Epo99jpxcQo,1.0,1.0,2.0,0.0,1.0,9.0,7.0,9.0,5.0,1.1,,significant change in global perspective about the virus - beginning to seem like a bigger threat to public health,1.0,2,,Statistics and Modeling,Straight news,Not prevention
2020-01-12-2020-01-19,UCJi8M0hRKjz8SLPvJKEVTOg,Reu7g_pe22o,Coronavirus | More Cases &amp; Second Death Reported | in China,2020-01-18T11:32:33Z,359652,1897.0,202.0,113.0,232,ETV Andhra Pradesh,3210000,Unknown,https://www.youtube.com/watch?v=Reu7g_pe22o,4.0,,,,,,,,,,,,1.0,2,,Not coded,Not coded,Not coded
2020-01-12-2020-01-19,UC4SUWizzKc1tptprBkWjX2Q,z_InqqUdhgM,Wuhan virus: second death reported in China as Japan finds first case,2020-01-17T08:07:36Z,318105,1789.0,116.0,871.0,114,South China Morning Post,1360000,HK,https://www.youtube.com/watch?v=z_InqqUdhgM,1.0,1.0,2.0,1.0,1.0,9.0,7.0,9.0,7.0,1.1,,,0.0,2,,Statistics and Modeling,Straight news,Not prevention
2020-01-12-2020-01-19,UCnsvJeZO4RigQ898WdDNoBw,FQasKuFZV1c,Se detecta el PRIMER CASO de CORONAVIRUS en JAPON,2020-01-16T20:48:08Z,213770,827.0,75.0,267.0,90,El País,1160000,ES,https://www.youtube.com/watch?v=FQasKuFZV1c,1.0,1.0,1.0,0.0,1.0,8.0,2.0,9.0,7.0,1.1,,"Two part video, I coded the first part which was in english, second part was not-english",0.0,2,,Virus information,Straight news,Not prevention
2020-01-12-2020-01-19,UCkccyEbqhhM3uKOI6Shm-4Q,fhE9jorBfMg,Brote de neumonia en China es causado por virus similar al Sars,2020-01-14T05:51:46Z,122099,1060.0,81.0,354.0,701,Meganoticias,572000,CL,https://www.youtube.com/watch?v=fhE9jorBfMg,2.0,,,,,,,,,,,,0.0,2,,Not coded,Not coded,Not coded
2020-01-12-2020-01-19,UCckz6n8QccTd6K_xdwKqa0A,Ew8KBQMDOwc,Les coronavirus | AFP Anime,2020-01-14T12:45:05Z,108221,673.0,49.0,1.0,93,AFP,686000,Unknown,https://www.youtube.com/watch?v=Ew8KBQMDOwc,4.0,,,,,,,,,,,,0.0,2,,Not coded,Not coded,Not coded
2020-01-12-2020-01-19,UCFaPzuoXcACu7jplePDfXmA,ngUqeOufKvk,Coronavirus : une peur raisonnable,2020-01-14T10:19:58Z,56166,,,,266,IHU Méditerranée-Infection,221000,FR,https://www.youtube.com/watch?v=ngUqeOufKvk,4.0,,,,,,,,,,,,0.0,2,,Not coded,Not coded,Not coded
2020-01-12-2020-01-19,UC83jt4dlz1Gjl58fzQrrKZg,7mNr1K9O1CQ,Thailand reports first case of Wuhan coronavirus outside China,2020-01-13T13:43:27Z,23848,91.0,5.0,39.0,40,CNA,1010000,SG,https://www.youtube.com/watch?v=7mNr1K9O1CQ,1.0,1.0,2.0,0.0,1.0,9.0,7.0,9.0,5.0,1.1,,,0.0,2,,Statistics and Modeling,Straight news,Not prevention
2020-01-12-2020-01-19,UCCIU-XxC1kygzKtnoJdtDVw,p4mID5Q83nE,"G. Ukhan', Khubei(WUHAN). Bashnia zheltogo zhuravlia. V 2020 v gorode poiavilas' novaia forma pnevmonii) 6\13",2020-01-17T17:19:49Z,6287,136.0,0.0,18.0,982,ASELIX DMITRIY,215,RU,https://www.youtube.com/watch?v=p4mID5Q83nE,4.0,,,,,,,,,,,I don't think this is about covid,,2,,Not coded,Not coded,Not coded
2020-01-19-2020-01-26,UCPP3etACgdUWvizcES1dJ8Q,cv5d_Jm-kBQ,kyaa bhaart meN mNddraa rhaa Coronavirus kaa khtraa ? Hum Toh Poochenge | Preeti Raghunandan,2020-01-24T16:56:24Z,18427802,112284.0,10905.0,4305.0,263,News18 India,9850000,IN,https://www.youtube.com/watch?v=cv5d_Jm-kBQ,4.0,,,,,,,,,,,,,3,,Not coded,Not coded,Not coded
2020-01-19-2020-01-26,UCl8wUKzoUVzg7U6ky1ZR8hQ,8pCvN81jHos,"China meN kaise phailaa Dangerous Coronavirus, jiskaa khtraa India, America &amp; Saudi Arab tk phuNc gyaa hai",2020-01-25T12:30:00Z,14686245,245919.0,12631.0,14553.0,392,Navbharat Times नवभारत टाइम्स,2090000,IN,https://www.youtube.com/watch?v=8pCvN81jHos,4.0,,,,,,,,,,,,,3,,Not coded,Not coded,Not coded
2020-01-19-2020-01-26,UCIRYBXDze5krPDzAEOxFGVA,aerq4byr7ps,What is the coronavirus?,2020-01-23T15:49:21Z,9698852,175809.0,4628.0,19167.0,221,Guardian News,1290000,GB,https://www.youtube.com/watch?v=aerq4byr7ps,1.0,1.0,1.0,2.0,2.0,4.0,6.0,9.0,7.0,1.1,,,,3,,Virus information,Straight news,Not prevention
2020-01-19-2020-01-26,UC_lEiu6917IJz03TnntWUaQ,yyEbH4OYYIg,Coronavirus de Wuhan: repulsivas imagenes del mercado donde se origino el brote y la alerta mundial,2020-01-23T07:02:30Z,9346130,100434.0,6402.0,19704.0,1480,CNN en Español,1950000,US,https://www.youtube.com/watch?v=yyEbH4OYYIg,2.0,,,,,,,,,,,,,3,,Not coded,Not coded,Not coded
2020-01-19-2020-01-26,UCmphdqZNmqL72WJ2uyiNw5w,nz7DidGzAb0,"jaanlevaa Coronavirus ko jaanie, kyaa haiN iske lkssnn, kin baatoN kaa rkheN dhyaan? | ABP News Hindi",2020-01-24T07:15:23Z,8441108,80161.0,5653.0,3861.0,400,ABP NEWS HINDI,18700000,IN,https://www.youtube.com/watch?v=nz7DidGzAb0,4.0,,,,,,,,,,,,,3,,Not coded,Not coded,Not coded
2020-01-19-2020-01-26,UCmxAIW7RDDC88EPk4ry16Kg,CdLTEdCasDA,Penampakan Pasar di Wuhan yang Jadi Tempat Virus Corona Berasal,2020-01-25T07:17:59Z,7665668,52186.0,4980.0,9231.0,150,Tribunnews.com,3340000,ID,https://www.youtube.com/watch?v=CdLTEdCasDA,4.0,,,,,,,,,,,,,3,,Not coded,Not coded,Not coded
2020-01-19-2020-01-26,UC9CYT9gSNLevX5ey2_6CK0Q,MT2dnLsK4hs,"Coronavirus Outbreak | dillii meN koronaavaayrs | Doctor se jaaneN kaise bceN, kaarnn, lkssnn aur ilaaj",2020-01-24T17:30:00Z,6167900,56490.0,4128.0,3704.0,463,NDTV India,8480000,IN,https://www.youtube.com/watch?v=MT2dnLsK4hs,4.0,,,,,,,,,,,,,3,,Not coded,Not coded,Not coded
2020-01-19-2020-01-26,UCC-YG6gBZNmdxYfQZnwCX4A,bFxLGeVYLko,"Video Kiriman Mahasiswa Aceh, Wuhan Sepi Bagai Kota Hantu",2020-01-25T16:35:09Z,5266737,64429.0,2108.0,8277.0,357,Serambi on TV,260000,ID,https://www.youtube.com/watch?v=bFxLGeVYLko,4.0,,,,,,,,,,,,,3,,Not coded,Not coded,Not coded
2020-01-19-2020-01-26,UCupvZG-5ko_eiXAupbDfxWw,GEARtTBHXEw,See where officials believe the coronavirus started,2020-01-21T02:47:47Z,4608867,44425.0,3133.0,26992.0,451,CNN,10500000,US,https://www.youtube.com/watch?v=GEARtTBHXEw,1.0,1.0,2.0,1.0,1.0,3.0,3.0,9.0,7.0,1.1,,,,3,,Statistics and Modeling,Straight news,Not prevention
2020-01-19-2020-01-26,UC7qRyUvlsuXGnfGuOrLRG0g,cxXU42lGEkU,China coronavirus : Fears infections will rise as hundreds of millions travel - TV9,2020-01-24T02:10:57Z,3484864,20865.0,2266.0,806.0,116,TV9 USA,547000,IN,https://www.youtube.com/watch?v=cxXU42lGEkU,4.0,,,,,,,,,,,,,3,,Not coded,Not coded,Not coded
2020-01-19-2020-01-26,UChLtXXpo4Ge1ReTEboVvTDg,HedWVC_EwrI,Coronavirus Outbreak: Toll gates become checkpoints as China fights to control spread of coronavirus,2020-01-24T18:03:10Z,3234659,13837.0,1355.0,391.0,181,Global News,1970000,CA,https://www.youtube.com/watch?v=HedWVC_EwrI,1.0,1.0,4.1,0.0,1.0,9.0,7.0,3.0,2.0,1.1,,,,3,,Prevention and Action,Straight news,Lockdown
2020-01-19-2020-01-26,UCobOFolL7EvKQeOOoI5p98w,KqasQyatfBQ,La Cumbia del Coronavirus - Mister Cumbia,2020-01-22T21:31:36Z,3164452,58704.0,2621.0,3749.0,220,MISTER CUMBIA,58400,MX,https://www.youtube.com/watch?v=KqasQyatfBQ,2.0,,,,,,,,,,,,,3,,Not coded,Not coded,Not coded
2020-01-19-2020-01-26,UCuFFtHWoLl5fauMMD5Ww2jA,cmgPVhubmQA,"China building 1,000-bed hospital in 5 days to treat coronavirus",2020-01-24T13:31:14Z,2918911,15037.0,1263.0,4732.0,383,CBC News,2250000,CA,https://www.youtube.com/watch?v=cmgPVhubmQA,1.0,1.0,4.1,4.4,3.0,2.0,6.0,3.0,2.0,1.1,,,,3,,Prevention and Action,Straight news,Lockdown
2020-01-19-2020-01-26,UCY6KjrDBN_tIRFT_QNqQbRQ,Ukzmt-pk7tk,Coronavirus and Novel Coronavirus in China | Tamil | Madan Gowri,2020-01-24T12:03:43Z,2900944,79436.0,3304.0,5072.0,878,Madan Gowri,3880000,IN,https://www.youtube.com/watch?v=Ukzmt-pk7tk,4.0,,,,,,,,,,,,,3,,Not coded,Not coded,Not coded
2020-01-19-2020-01-26,UC4SUWizzKc1tptprBkWjX2Q,CfcIHUdOI8w,China coronavirus: a look inside the sealed off city of Wuhan,2020-01-24T07:16:13Z,2789589,13030.0,646.0,4486.0,141,South China Morning Post,1360000,HK,https://www.youtube.com/watch?v=CfcIHUdOI8w,1.0,1.0,4.1,5.0,3.0,9.0,7.0,3.0,5.0,1.1,,,,3,,Prevention and Action,Straight news,Lockdown
2020-01-19-2020-01-26,UCTrQ7HXWRRxr7OsOtodr2_w,lg925coC5sc,Coronavirus spread is 'accelerating' says China as death toll rises to 41,2020-01-25T18:49:24Z,2749829,35998.0,2297.0,17471.0,445,Channel 4 News,1420000,GB,https://www.youtube.com/watch?v=lg925coC5sc,1.0,1.0,2.0,4.1,3.0,9.0,7.0,8.0,5.0,1.1,,,,3,,Statistics and Modeling,Straight news,Not prevention
2020-01-19-2020-01-26,UCh3T5sZOEL6vuOIdO69IKCQ,eCdRxHepJiI,TE EXPLICO EL CORONAVIRUS (COVID-19) | DOCTOR VIC,2020-01-25T01:00:04Z,2515997,139699.0,1795.0,5848.0,355,Doctor Vic,1860000,MX,https://www.youtube.com/watch?v=eCdRxHepJiI,2.0,,,,,,,,,,,,,3,,Not coded,Not coded,Not coded
2020-01-19-2020-01-26,UCl-J-ovSJhA3or73Q2uVpow,UubQNkK0wy0,Novel Coronavirus (2019 nCoV  Outbreak ) [Update # 1] COVID-19,2020-01-24T09:27:53Z,2381826,25883.0,1562.0,4504.0,818,Medicosis Perfectionalis,268000,US,https://www.youtube.com/watch?v=UubQNkK0wy0,1.0,8.0,1.0,0.0,1.0,9.0,7.0,9.0,7.0,1.1,,,,3,,Virus information,YouTubers-laypersons/channels,Not prevention
2020-01-19-2020-01-26,UCUsm-fannqOY02PNN67C0KA,Tt9G39gzCFw,?Que es el coronavirus? | COVID-19 | Causas y sintomas,2020-01-22T02:50:14Z,2366966,20047.0,1080.0,2447.0,116,Noticieros Televisa,3130000,MX,https://www.youtube.com/watch?v=Tt9G39gzCFw,2.0,,,,,,,,,,,,,3,,Not coded,Not coded,Not coded
2020-01-19-2020-01-26,UCK6c4qk3hRaa6fMIEZrhiXQ,llQTvCV4zu4,"Penyebab Virus Corona Diduga dari Kelelawar di Pasar Wuhan, Kenapa Orang China Suka Makanan Ekstrem?",2020-01-24T11:42:22Z,2260426,6881.0,1010.0,2221.0,113,Tribun Timur,1670000,ID,https://www.youtube.com/watch?v=llQTvCV4zu4,4.0,,,,,,,,,,,,,3,,Not coded,Not coded,Not coded
2020-01-19-2020-01-26,UC4SUWizzKc1tptprBkWjX2Q,f7llqJcvkxM,Chinese hospital staff in Wuhan face fears amid frontline battle against coronavirus outbreak,2020-01-23T11:08:35Z,2029780,11598.0,622.0,2120.0,131,South China Morning Post,1360000,HK,https://www.youtube.com/watch?v=f7llqJcvkxM,1.0,1.0,5.0,0.0,3.0,3.0,3.0,9.0,7.0,1.1,,,,3,,Non-Physical Health,Straight news,Not prevention
2020-01-19-2020-01-26,UCV6zcRug6Hqp1UX_FdyUeBg,CZHX7mnsv6Q,"Cin&#39;de neler oluyor? Karantina altindaki Wuhan&#39;da yasayan Turk, CNN TURK&#39;e konustu",2020-01-23T08:28:09Z,1900424,8608.0,616.0,3381.0,304,CNN TÜRK,627000,TR,https://www.youtube.com/watch?v=CZHX7mnsv6Q,4.0,,,,,,,,,,,,,3,,Not coded,Not coded,Not coded
2020-01-19-2020-01-26,UCUsm-fannqOY02PNN67C0KA,wxof1zzFtCE,Mexico en alerta por coronavirus - En Punto,2020-01-22T05:55:23Z,1700585,21872.0,1085.0,2912.0,175,Noticieros Televisa,3130000,MX,https://www.youtube.com/watch?v=wxof1zzFtCE,2.0,,,,,,,,,,,,,3,,Not coded,Not coded,Not coded
2020-01-19-2020-01-26,UCknLrEdhRCp1aegoMqRaCZg,qFkyqt0rKms,Coronavirus spreads to Europe and Australia | DW News,2020-01-25T10:11:02Z,1667077,19589.0,663.0,8093.0,388,DW News,1670000,DE,https://www.youtube.com/watch?v=qFkyqt0rKms,1.0,1.0,2.0,0.0,1.0,9.0,7.0,9.0,7.0,1.1,,,,3,,Statistics and Modeling,Straight news,Not prevention
2020-01-19-2020-01-26,UChirEOpgFCupRAk5etXqPaA,qO8QWq1K1_c,What Is Coronavirus?,2020-01-22T01:51:06Z,1666181,22420.0,1007.0,4418.0,137,Bloomberg QuickTake News,494000,US,https://www.youtube.com/watch?v=qO8QWq1K1_c,1.0,7.0,1.0,0.0,2.0,1.0,3.0,9.0,7.0,1.1,,,,3,,Virus information,Educational/YouTubers-professionals,Not prevention
2020-01-19-2020-01-26,UCoMdktPbSTixAyNGwb-UYkQ,GdVRYfBzHYg,UK on alert for deadly coronavirus as four people are tested,2020-01-23T17:27:12Z,1652911,18954.0,543.0,3414.0,136,Sky News,2590000,GB,https://www.youtube.com/watch?v=GdVRYfBzHYg,1.0,1.0,9.0,0.0,1.0,9.0,5.0,9.0,7.0,1.1,,,,3,,Human Interest,Straight news,Not prevention
2020-01-19-2020-01-26,UCKjU3KzdbJE1EFcHVqXC3_g,QnSbyoXnyRo,Coronavirus questions answered,2020-01-25T03:22:58Z,1609296,13287.0,1148.0,,360,CBC News: The National,822000,CA,https://www.youtube.com/watch?v=QnSbyoXnyRo,1.0,1.0,1.0,0.0,2.0,2.0,3.0,9.0,7.0,1.1,,,,3,,Virus information,Straight news,Not prevention
2020-01-19-2020-01-26,UCupvZG-5ko_eiXAupbDfxWw,zsGk4xw2XUk,The deadly new coronavirus has reached the US,2020-01-23T00:56:30Z,1576798,14899.0,1191.0,9551.0,551,CNN,10500000,US,https://www.youtube.com/watch?v=zsGk4xw2XUk,1.0,1.0,1.0,5.0,1.0,3.0,5.0,9.0,7.0,1.1,,,,3,,Virus information,Straight news,Not prevention
2020-01-19-2020-01-26,UC04KsGq3npibMCE9Td3mVDg,5M7saVTtBQI,Will A Mask Really Protect You From Coronavirus? - Cheddar Explains,2020-01-24T21:01:55Z,1525354,27736.0,1256.0,5827.0,237,Cheddar,657000,US,https://www.youtube.com/watch?v=5M7saVTtBQI,1.0,7.0,4.2,0.0,1.0,9.0,3.0,9.0,7.0,1.1,,,,3,,Prevention and Action,Educational/YouTubers-professionals,Mask
2020-01-19-2020-01-26,UC9k-yiEpRHMNVOnOi_aQK8w,ozYdKCuLLnk,What You Need to Know About Coronavirus That&#39;s Spread From China,2020-01-22T20:12:34Z,1500256,30746.0,551.0,5720.0,100,Inside Edition,7810000,US,https://www.youtube.com/watch?v=ozYdKCuLLnk,1.0,1.0,1.0,2.0,1.0,1.0,3.0,9.0,7.0,1.1,,,,3,,Virus information,Straight news,Not prevention
2020-01-19-2020-01-26,UC5BMIWZe9isJXLZZWPWvBlg,05Xc_JI5ZT4,"Cerita WNI di Wuhan, Bertahan di Tengah Merebaknya Virus Corona",2020-01-25T22:21:21Z,1437826,12984.0,531.0,2192.0,235,KOMPASTV,6350000,ID,https://www.youtube.com/watch?v=05Xc_JI5ZT4,4.0,,,,,,,,,,,,,3,,Not coded,Not coded,Not coded
2020-01-19-2020-01-26,UCmxAIW7RDDC88EPk4ry16Kg,-fFYSRWrN7w,Beredar Video Mencekam di Rumah Sakit Kota Wuhan Cina karena Virus Corona,2020-01-25T09:30:01Z,1414807,4642.0,383.0,1592.0,138,Tribunnews.com,3340000,ID,https://www.youtube.com/watch?v=-fFYSRWrN7w,4.0,,,,,,,,,,,,,3,,Not coded,Not coded,Not coded
2020-01-19-2020-01-26,UChvithwOECK5g_19TjldMKw,VLp8CHeKQkI,China&#39;s Coronavirus is Much Worse Than You Think,2020-01-22T17:44:13Z,1322437,52332.0,3679.0,10450.0,719,laowhy86,531000,US,https://www.youtube.com/watch?v=VLp8CHeKQkI,1.0,8.0,7.1,0.0,3.0,9.0,5.0,3.0,2.0,1.1,,,,3,,Politics and Blame,YouTubers-laypersons/channels,Not prevention
2020-01-19-2020-01-26,UCMmpLL2ucRHAXbNHiCPyIyg,bIB7mry2WPM,First Coronavirus case found in Pakistan,2020-01-25T07:29:18Z,1307678,7492.0,654.0,943.0,92,ARY News,5820000,PK,https://www.youtube.com/watch?v=bIB7mry2WPM,4.0,,,,,,,,,,,,,3,,Not coded,Not coded,Not coded
2020-01-19-2020-01-26,UCoMdktPbSTixAyNGwb-UYkQ,6cuE3RAJJQs,Coronavirus: President Xi warns of &#39;grave situation&#39; as infection spreads,2020-01-25T17:51:51Z,1274987,10863.0,745.0,5954.0,99,Sky News,2590000,GB,https://www.youtube.com/watch?v=6cuE3RAJJQs,1.0,1.0,4.5,4.1,3.0,9.0,7.0,3.0,1.0,1.1,,,,3,,Prevention and Action,Straight news,Other prevention
2020-01-19-2020-01-26,UCgrNz-aDmcr2uuto8_DL2jg,mPu1N-fymB8,Coronavirus patient in Wuhan expected to leave hospital after ECMO support,2020-01-24T00:26:24Z,1266892,3255.0,321.0,465.0,98,CGTN,1820000,CN,https://www.youtube.com/watch?v=mPu1N-fymB8,1.0,1.0,9.0,1.0,1.0,3.0,5.0,9.0,7.0,1.1,,,,3,,Human Interest,Straight news,Not prevention
2020-01-19-2020-01-26,UCRi7A7DpGFKCmRn86aA63IA,irBF_AOy2TM,"#Coronavirus ?Que es, cuales son los sintomas y como protegerse?",2020-01-23T17:12:39Z,1262216,11951.0,581.0,1605.0,182,Expansión,192000,MX,https://www.youtube.com/watch?v=irBF_AOy2TM,2.0,,,,,,,,,,,,,3,,Not coded,Not coded,Not coded
2020-01-19-2020-01-26,UClLLRs_mFTsNT5U-DqTYAGg,N_KYcCWHg6Q,El nuevo coronavirus de Wuhan: atrapados en el centro del virus,2020-01-23T14:29:56Z,1256653,12669.0,514.0,2523.0,180,La Vanguardia,654000,ES,https://www.youtube.com/watch?v=N_KYcCWHg6Q,2.0,,,,,,,,,,,,,3,,Not coded,Not coded,Not coded
2020-01-19-2020-01-26,UC6o-wWU-v2ClFMwougmK7dA,o9lVJ6IlE4k,Coronavirus: How could it be stopped? - BBC Newsnight,2020-01-24T23:45:10Z,1213809,11274.0,1056.0,8122.0,714,BBC Newsnight,606000,GB,https://www.youtube.com/watch?v=o9lVJ6IlE4k,1.0,1.0,2.0,4.3,1.0,8.0,3.0,9.0,7.0,1.1,,,,3,,Statistics and Modeling,Straight news,Not prevention
2020-01-19-2020-01-26,UC262-NFJtcZMJh1CHn2H3wA,Je0_U2ym_r0,"""Wuhan SARS"": Tracing the origin of the new virus to China's wild animal markets",2020-01-20T01:16:30Z,1193376,,,,266,Kristie Lu Stout,0,US,https://www.youtube.com/watch?v=Je0_U2ym_r0,1.0,1.0,1.0,0.0,1.0,3.0,3.0,9.0,7.0,1.1,,,,3,,Virus information,Straight news,Not prevention
2020-01-19-2020-01-26,UCknLrEdhRCp1aegoMqRaCZg,ltcV3Q-1ztw,China puts millions under lockdown to contain coronavirus | DW News,2020-01-24T11:08:23Z,1146679,8315.0,367.0,3697.0,398,DW News,1670000,DE,https://www.youtube.com/watch?v=ltcV3Q-1ztw,1.0,1.0,4.1,1.0,1.0,8.0,3.0,9.0,7.0,1.1,,,,3,,Prevention and Action,Straight news,Lockdown
