,codingWeek,channelId,videoId,title,publishedAt,viewCount,likeCount,dislikeCount,commentCount,duration,channelTitle,subscriberCount,country,videoURL,Language,Source Type,1st Theme,2nd Theme,Perspective,Who,Who Background,Whom,Whom Background,Verification,Verification.1,Comments,Coder,weekIndex,Comment,1st Theme String,Source Type String,Prevention String
15,2020-04-26-2020-05-03,UCeY0bbntWzzVIaj2z3QigXg,zGZNdc3QnJY,Watch Brad Pitt As Dr. Fauci Diagnose Trump's COVID-19 Response On 'SNL' | NBC News,2020-04-26T15:55:59Z,1457470,14180.0,1696.0,1453.0,233,NBC News,3760000,US,https://www.youtube.com/watch?v=zGZNdc3QnJY,1.0,1.0,7.1,0.0,1.0,1.0,6.0,1.0,1.0,1.3,,Comedy show,0.0,17,,Politics and Blame,Straight news,Not prevention
16,2020-04-26-2020-05-03,UCupvZG-5ko_eiXAupbDfxWw,SdqlNNAEju0,Fauci announces good news about coronavirus drug,2020-04-29T21:22:51Z,1416097,8721.0,2527.0,6967.0,624,CNN,10500000,US,https://www.youtube.com/watch?v=SdqlNNAEju0,1.0,1.0,3.0,0.0,2.0,1.0,2.0,9.0,7.0,1.1,,coded first half,0.0,17,,Treatment,Straight news,Not prevention
17,2020-04-26-2020-05-03,UCETZ7r1_8C1DNFDO-7UXwqw,HHKXYWZYH5E,Alicia Keys - Empire State of Mind (Part II) Broken Down (BET COVID-19 Relief Effort),2020-04-30T21:40:03Z,1328277,44425.0,428.0,1568.0,399,aliciakeysVEVO,2440000,US,https://www.youtube.com/watch?v=HHKXYWZYH5E,1.0,8.0,5.0,0.0,2.0,1.0,3.0,1.0,3.0,1.3,,only a few seconds where a nurse talked about playing a song in the covid ward to keep other health-care worker's spirits up,0.0,17,,Non-Physical Health,YouTubers-laypersons/channels,Not prevention
18,2020-04-26-2020-05-03,UCa6vGFO9ty8v5KZJXQxdhaw,McY_4gZfuVo,Jimmy Kimmel's Quarantine Monologue - What Trump Was Doing During COVID-19 Warnings,2020-04-29T04:03:54Z,1309883,16644.0,760.0,2454.0,522,Jimmy Kimmel Live,17000000,US,https://www.youtube.com/watch?v=McY_4gZfuVo,1.0,2.0,7.1,0.0,3.0,1.0,6.0,1.0,1.0,1.3,,,0.0,17,,Politics and Blame,Entertainment news,Not prevention
20,2020-04-26-2020-05-03,UCeY0bbntWzzVIaj2z3QigXg,NIuIroDcvio,New Warning Of Rare Coronavirus Complication In Children | NBC Nightly News,2020-05-02T23:25:32Z,1187723,8102.0,1765.0,4567.0,144,NBC News,3760000,US,https://www.youtube.com/watch?v=NIuIroDcvio,1.0,1.0,1.0,9.0,3.0,1.0,3.0,9.0,7.0,1.1,,,1.0,17,,Virus information,Straight news,Not prevention
22,2020-04-26-2020-05-03,UCupvZG-5ko_eiXAupbDfxWw,n0Ip2Mdy-Wk,CNN returns to Wuhan after total lockdown. See what we found.,2020-04-27T13:55:38Z,1086969,7503.0,1703.0,5163.0,541,CNN,10500000,US,https://www.youtube.com/watch?v=n0Ip2Mdy-Wk,1.0,1.0,4.1,7.2,1.0,1.0,6.0,9.0,7.0,1.1,,,1.0,17,,Prevention and Action,Straight news,Lockdown
23,2020-04-26-2020-05-03,UCupvZG-5ko_eiXAupbDfxWw,rXzD2XZFwQY,Conspiracy theorists said she started the coronavirus pandemic. Now she&#39;s afraid for her life.,2020-04-27T12:45:04Z,1041012,6356.0,3701.0,9451.0,292,CNN,10500000,US,https://www.youtube.com/watch?v=rXzD2XZFwQY,1.0,1.0,7.1,9.0,3.0,1.0,6.0,9.0,7.0,1.3,,,1.0,17,,Politics and Blame,Straight news,Not prevention
24,2020-04-26-2020-05-03,UCupvZG-5ko_eiXAupbDfxWw,pTyE8tNeG0I,Trump&#39;s Twitter rant includes retweet of Covid-19 conspiracy theory,2020-04-27T20:59:52Z,831477,6518.0,2086.0,8068.0,478,CNN,10500000,US,https://www.youtube.com/watch?v=pTyE8tNeG0I,1.0,1.0,4.5,7.1,3.0,1.0,6.0,1.0,1.0,1.1,,,3.0,17,,Prevention and Action,Straight news,Other prevention
0,2020-05-03-2020-05-10,UC3XTzVzaHQEd30rQbuvCtTQ,7rl4c-jr7g0,Coronavirus VI: Testing: Last Week Tonight with John Oliver (HBO),2020-05-04T06:45:00Z,7976351,162701.0,5694.0,22422.0,1394,LastWeekTonight,8320000,Unknown,https://www.youtube.com/watch?v=7rl4c-jr7g0,1.0,2.0,4.4,7.1,3.0,1.0,6.0,1.0,1.0,1.3,,,0.0,18,,Prevention and Action,Entertainment news,Social distancing
1,2020-05-03-2020-05-10,UCBi2mrWuNuyYy4gbM6fU18Q,J9Vh9yqu5Qo,New report indicates China misled world about coronavirus,2020-05-03T02:21:29Z,2517908,20840.0,5771.0,13352.0,128,ABC News,9620000,US,https://www.youtube.com/watch?v=J9Vh9yqu5Qo,1.0,1.0,7.2,0.0,3.0,9.0,7.0,3.0,2.0,1.1,,,0.0,18,,Politics and Blame,Straight news,Not prevention
